
TIME:1719729512967,ROBOT-TYPE:<Random Moving Robot>,ROBOT-COUNT:2,ARENA-TYPE:<arena_obstacles>
timestamp,robot-id,cycle,total-time,matched
1719729518031,10,1,2613,10
1719729519713,11,1,2607,19
1719729520645,10,2,2613,16
1719729522324,11,2,2610,25
1719729523258,10,3,2611,25
1719729524935,11,3,2610,33
1719729525868,10,4,2606,33
1719729527545,11,4,2608,34
1719729528475,10,5,2606,33
1719729530154,11,5,2606,34
1719729531083,10,6,2607,33
1719729532761,11,6,2606,34
1719729533693,10,7,2609,33
1719729535373,11,7,2609,34
1719729536306,10,8,2611,34
1719729537985,11,8,2609,34
1719729538916,10,9,2609,42
1719729540595,11,9,2608,34
1719729541524,10,10,2606,46
1719729543205,11,10,2608,34
1719729544135,10,11,2608,53
1719729545814,11,11,2607,34
1719729546744,10,12,2608,54
1719729548439,11,12,2623,34
1719729549363,10,13,2610,54
1719729551047,11,13,2607,34
1719729551971,10,14,2606,60
1719729553654,11,14,2605,42
1719729554580,10,15,2607,66

TIME:1719730374428,ROBOT-TYPE:<Random Moving Robot>,ROBOT-COUNT:2,ARENA-TYPE:<arena_obstacles>
timestamp,robot-id,cycle,total-time,matched
1719730379789,10,1,2641,10
1719730381451,11,1,2643,19
1719730382425,10,2,2635,16
1719730384079,11,2,2627,28
1719730385375,10,3,2947,17
1719730386730,11,3,2650,33
1719730388014,10,4,2637,26
1719730389365,11,4,2634,34
1719730390647,10,5,2631,26
1719730392633,11,5,3267,42
1719730393284,10,6,2636,26
1719730395266,11,6,2631,46
1719730395914,10,7,2630,26
1719730397902,11,7,2634,53
1719730398549,10,8,2634,26
1719730400544,11,8,2641,59
1719730401178,10,9,2627,34
1719730403169,11,9,2624,65
1719730403816,10,10,2637,38
1719730405790,11,10,2619,67
1719730406450,10,11,2633,46
1719730408415,11,11,2624,73
1719730409081,10,12,2629,52

TIME:1719745519878,ROBOT-TYPE:<HWA Robot>,ROBOT-COUNT:2,ARENA-TYPE:<arena_obstacles>
timestamp,robot-id,cycle,total-time,matched
1719745525693,10,1,3125,2
1719745526742,11,1,2622,19
1719745528320,10,2,2627,13
1719745529370,11,2,2628,30
1719745530940,10,3,2620,33
1719745531995,11,3,2623,40
1719745533564,10,4,2622,46
1719745534927,11,4,2932,44
1719745536178,10,5,2614,46
1719745537542,11,5,2615,55
1719745538799,10,6,2621,50
1719745540165,11,6,2623,56
1719745541422,10,7,2623,57
1719745542784,11,7,2619,64
1719745544041,10,8,2619,58
1719745545398,11,8,2614,65
1719745546668,10,9,2627,66
1719745548024,11,9,2624,74
1719745549286,10,10,2618,68
1719745551154,11,10,3130,83
1719745551904,10,11,2618,76
1719745553776,11,11,2622,84
1719745555039,10,12,3135,84
1719745556404,11,12,2628,83
1719745557660,10,13,2621,84
1719745559036,11,13,2630,83
1719745560283,10,14,2622,84
1719745561663,11,14,2626,86
1719745562902,10,15,2619,85
1719745564280,11,15,2614,87
1719745565527,10,16,2625,86
1719745566910,11,16,2629,88

TIME:1719745859158,ROBOT-TYPE:<HWA Robot>,ROBOT-COUNT:2,ARENA-TYPE:<arena_obstacles>
timestamp,robot-id,cycle,total-time,matched
1719745864652,10,1,3114,2
1719745865719,11,1,2605,19
1719745867262,10,2,2607,13
1719745868329,11,2,2608,30
1719745869875,10,3,2611,33
1719745870940,11,3,2609,40
1719745872483,10,4,2606,46
1719745873549,11,4,2608,44
1719745875099,10,5,2611,46
1719745876164,11,5,2612,55
1719745877711,10,6,2608,53
1719745878776,11,6,2610,56
1719745880326,10,7,2613,59
1719745881383,11,7,2606,66
1719745882937,10,8,2609,59
1719745883991,11,8,2606,67
1719745885548,10,9,2609,66
1719745886601,11,9,2608,74
1719745888158,10,10,2608,69
1719745889713,11,10,3109,83
1719745890765,10,11,2606,77
1719745892324,11,11,2610,85
1719745893879,10,12,3110,85
1719745894934,11,12,2608,84
1719745896489,10,13,2609,85
1719745897541,11,13,2605,84
1719745899098,10,14,2608,84
1719745900149,11,14,2606,86
1719745901707,10,15,2606,85
1719745902756,11,15,2604,87
1719745904317,10,16,2609,86
1719745905363,11,16,2606,88
1719745906927,10,17,2608,86
1719745907974,11,17,2609,88
1719745909539,10,18,2610,86
1719745910583,11,18,2607,88
1719745912146,10,19,2607,88
1719745913193,11,19,2608,89
1719745914757,10,20,2608,90
1719745915804,11,20,2609,91
1719745917364,10,21,2605,90
1719745918413,11,21,2607,90
1719745919975,10,22,2609,91
1719745921027,11,22,2609,92
1719745922585,10,23,2608,91
1719745923644,11,23,2616,94
1719745925202,10,24,2616,91
1719745926251,11,24,2606,91

TIME:1719756909726,ROBOT-TYPE:<HLCA Robot>,ROBOT-COUNT:2,ARENA-TYPE:<arena_obstacles>
timestamp,robot-id,cycle,total-time,matched
1719756914761,9,1,2634,14
1719756916472,10,1,2605,17
1719756917374,9,2,2610,18
1719756918161,10,1,2607,17
1719756919983,9,3,2608,16
1719756920188,10,3,2610,18
1719756920770,10,2,2608,19
1719756922591,9,4,2607,19
1719756922798,10,4,2608,42
1719756923382,10,3,2610,42
1719756925200,9,5,2607,32
1719756925407,10,5,2608,27
1719756925993,10,4,2608,27
1719756927810,9,6,2608,31
1719756928014,10,6,2606,34
1719756928610,10,5,2615,34
1719756930422,9,7,2611,28
1719756930659,10,7,2644,33
1719756931257,10,6,2645,33
1719756933033,9,8,2608,34
1719756933269,10,8,2608,26
1719756933865,10,7,2605,26
1719756935642,9,9,2608,26
1719756935878,10,9,2608,27
1719756936476,10,8,2606,27
1719756938249,9,10,2606,28
1719756938490,10,10,2611,20
1719756939088,10,9,2609,20
1719756940859,9,11,2607,20
1719756941097,10,11,2606,25
1719756941694,10,10,2604,25
1719756943468,9,12,2607,20
1719756944205,10,12,3107,17
1719756944804,10,11,3108,17
1719756946075,9,13,2605,19
1719756946814,10,13,2607,16
1719756947413,10,12,2607,16
1719756948686,9,14,2610,21
1719756949423,10,14,2608,13
1719756950021,10,13,2606,13
1719756951292,9,15,2605,15
1719756952033,10,15,2608,17
1719756952630,10,14,2608,17
1719756953899,9,16,2606,9
1719756954642,10,16,2608,13
1719756955392,10,15,2760,13

TIME:1719757601539,ROBOT-TYPE:<HLCA Robot>,ROBOT-COUNT:2,ARENA-TYPE:<arena_obstacles>
timestamp,robot-id,cycle,total-time,matched
1719757607614,9,1,2637,14
1719757609849,10,1,2634,17
1719757610254,9,2,2637,18
1719757612481,10,2,2632,19
1719757613105,9,3,2851,16
1719757615124,10,3,2642,13
1719757615740,9,4,2633,20
1719757617766,10,4,2640,15
1719757618365,9,5,2624,21
1719757620407,10,5,2641,27
1719757621014,9,6,2648,22
1719757623045,10,6,2638,25
1719757623649,9,7,2634,20
1719757625695,10,7,2650,26
1719757626276,9,8,2625,27
1719757628321,10,8,2625,23
1719757628907,9,9,2630,21
1719757631043,10,9,2721,16
1719757631583,9,10,2674,25
1719757633665,10,10,2620,24
1719757634202,9,11,2618,17
1719757636817,10,11,3151,15
1719757636833,9,12,2627,18
1719757639448,10,12,2630,13
1719757639464,9,13,2630,16

TIME:1719757727751,ROBOT-TYPE:<HLCA Robot>,ROBOT-COUNT:2,ARENA-TYPE:<arena_obstacles>
timestamp,robot-id,cycle,total-time,matched
1719757732609,9,1,2606,14
1719757734241,10,1,2605,17
1719757735215,9,2,2605,18
1719757735950,10,1,2605,17
1719757737823,9,3,2607,16
1719757737950,10,3,2605,18
1719757738556,10,2,2605,19
1719757740427,9,4,2603,19
1719757740557,10,4,2606,42
1719757741166,10,3,2609,42
1719757743034,9,5,2605,32
1719757743208,10,5,2650,27
1719757743772,10,4,2604,27
1719757745646,9,6,2610,31
1719757745879,10,6,2607,34
1719757746379,10,5,2605,34
1719757748255,9,7,2608,28
1719757748487,10,7,2607,33
1719757748988,10,6,2608,33
1719757750860,9,8,2605,34
1719757751096,10,8,2609,26
1719757751596,10,7,2607,26
1719757753468,9,9,2607,26
1719757753704,10,9,2607,27
1719757754203,10,8,2607,27
1719757756076,9,10,2606,28
1719757756312,10,10,2607,20
1719757756810,10,9,2605,20
1719757758681,9,11,2604,20
